,DepDelayMinutes,ArrDelayMinutes,AirTime,ActualElapsedTime,Distance,Scor_Dimensiune_Zbor,Scor_Intarzieri
46755,0.0,0.0,151.0,173.0,1084.0,0.5585265214096501,-0.3361716916487692
46756,0.0,0.0,71.0,91.0,521.0,-0.5685886036745745,-0.22218720178251872
46757,20.0,11.0,123.0,141.0,957.0,0.16152967696188875,-0.05884011060097572
46758,0.0,0.0,24.0,56.0,91.0,-1.2743046149126587,-0.24427643215715186
46759,0.0,0.0,38.0,68.0,184.0,-1.0726114241886442,-0.25298564169406
46760,13.0,10.0,43.0,62.0,226.0,-0.9760726641858152,-0.011490691409087941
46761,0.0,0.0,92.0,112.0,622.0,-0.27823358576258456,-0.2587107954557486
46762,33.0,22.0,156.0,185.0,1085.0,0.5938743388981228,0.027915716643658967
46763,45.0,44.0,126.0,139.0,941.0,0.2744078757835206,0.5842995688682758
46764,0.0,0.0,135.0,159.0,1107.0,0.3471227838125079,-0.2988528975049847
46765,162.0,157.0,247.0,274.0,1919.0,2.0825824752359448,2.5217080212206593
46766,0.0,3.0,159.0,210.0,1089.0,0.6136653155456281,-0.4513542249628013
46767,6.0,11.0,215.0,254.0,1660.0,1.4736520182781496,-0.2730656200316589
46768,0.0,0.0,76.0,100.0,592.0,-0.5016645533456047,-0.24250011747010194
46769,0.0,5.0,88.0,139.0,642.0,-0.3737913239413374,-0.3104798161819214
46770,0.0,0.0,42.0,59.0,228.0,-0.9847972687324209,-0.1867060570640565
46771,0.0,0.0,85.0,112.0,581.0,-0.3916661482922988,-0.2847709304786291
46772,0.0,0.0,102.0,134.0,660.0,-0.16815428279324024,-0.34115274232429615
46773,17.0,80.0,151.0,221.0,913.0,0.7384814360087326,0.9127149041209852
46774,0.0,0.0,122.0,138.0,999.0,0.1787125030236632,-0.2433208668221238
46775,52.0,42.0,57.0,80.0,399.0,-0.7660486847685095,0.5692562362154976
46776,22.0,11.0,29.0,53.0,139.0,-1.2108860087590907,-0.000637413398785662
46777,0.0,0.0,85.0,109.0,592.0,-0.38340923651171904,-0.26681275742556165
46778,4.0,0.0,98.0,132.0,774.0,-0.2230810037888126,-0.31917844299718134
46779,0.0,10.0,87.0,116.0,523.0,-0.33166889557858625,-0.11977813010481804
46780,0.0,0.0,238.0,266.0,2158.0,1.8416903584145075,-0.3878462050447873
46781,0.0,0.0,113.0,132.0,867.0,0.0349177062780058,-0.2611734677048534
46782,0.0,0.0,73.0,93.0,500.0,-0.5453090983513375,-0.23179123730190276
46783,0.0,30.0,56.0,125.0,386.0,-0.7547848624900597,0.11146503305898664
46784,5.0,0.0,41.0,57.0,236.0,-1.01230847583284,-0.17856787138780006
