,C1,C2,C3
2022-03-19,-0.37772997869547453,1.3478068533053864,0.7170161687333325
2022-02-16,-0.18585687405387724,-0.7389491923316939,0.8440009462217004
2022-01-18,-0.3542402619277954,-2.6196044211817058,1.541715752906067
2022-01-23,-0.35818601540285805,-1.990857020022034,0.7832009275180124
2022-07-01,1.0337546238841673,0.31309345826921364,-0.8603388138945195
2022-06-13,-0.9251642595941965,0.38618247559252955,0.23262591362570995
2022-02-25,0.9816654858674436,-0.38113942368964365,-0.6437654750554785
2022-01-28,1.1853314513070543,0.5925802527321714,-1.0851255905157418
2022-04-16,-0.16206008684570775,-3.0176140969572556,-0.5981586413200057
2022-01-26,0.49067861903490817,0.6608878859773796,-0.22154105641098307
2022-01-26,-0.010403709453720393,0.8711755302819706,0.6208365006110946
2022-06-25,0.8305265970265366,0.3404351679397512,-0.6960297893573079
2022-03-09,0.21079223185888432,0.3792535742239466,0.15352498067868015
2022-05-05,0.8285360673165758,0.45061436642846997,-1.0852492611781366
2022-04-02,0.8835647100044355,0.03935194413370067,-0.6385888715856596
2022-04-12,0.2131129786221989,-1.5702391006784084,0.525877349833039
2022-03-12,-0.011846303690605929,0.2381348195956189,-0.5728478684257868
2022-02-08,0.7575515295893545,-0.04607512573949478,-0.45807902278321905
2022-04-08,-1.212261032620379,1.0428650384356692,0.7986879037407425
2022-03-16,0.41057979090672464,-1.6559502980910756,0.2895512992882146
2022-01-05,1.1068526214632766,0.5234365690266818,-0.9531376080929186
2022-05-04,0.7301682272314753,0.7659114474733305,-0.6129933656878106
2022-01-08,-2.355713077839488,-0.8459852062243187,-3.123896881197613
2022-03-28,1.0325142268845897,0.008419765198958713,-0.7626832417689836
2022-06-01,0.2004435878295386,0.35595961656845876,-1.914028352470815
2022-03-03,-0.736733242938502,-1.0983168866714001,1.6451223494461387
2022-05-24,-0.05616725854809961,0.14590676637408018,0.5471846967295811
2022-02-16,-0.7354398946467182,-0.2904077912403628,0.5646473254272999
2022-03-07,-0.5568169157937246,1.2293212246747092,0.9120988436166245
2022-05-23,0.5861771494047091,0.561349927731253,-0.6747118396389706
2022-05-09,-0.7711360861275153,0.5683152403775386,1.4062067234016764
2022-03-06,-0.9206551162209264,1.2784350149517025,1.3695085077005855
2022-07-02,-0.2373074160735386,0.6318022113791183,0.6907031826421972
2022-03-30,0.5959998326158908,-0.8118330227706341,-0.024446661297864443
2022-06-29,-0.8098602332947621,0.85242167760036,1.3491934286022977
2022-03-25,-0.32492361801444586,-2.186490169831304,-1.0277638282205268
2022-07-24,1.0150143879567053,-0.5992109583412923,-0.7147096944157164
2022-02-03,-0.8225299334136084,0.6477242560387472,1.2720105841426623
2022-05-15,1.2190823846935548,0.14262352254492974,-1.1379582716406855
2022-03-31,-0.103200718010215,0.9415840090390539,0.5274329395625703
2022-03-18,1.323542324335382,-1.6332971164093748,-0.783251962195881
2022-01-30,-0.020393656153169768,0.5434979927309527,0.40030032760707995
2022-01-02,-0.7562006785327448,-0.0737607168917712,0.7594605264526134
2022-06-30,-0.12754972948366844,-0.5679516411236551,0.7785586199081925
2022-04-06,-0.0718637973793028,-0.6697393143545028,0.7128040136168275
2022-02-13,0.5390112035329088,0.8434257007009377,-0.2926292782068395
2022-04-22,-0.9164504956700159,0.6205620681928371,0.9079095011297937
2022-02-15,0.8324585449366071,-2.8247611836814333,0.029938000832957515
2022-03-05,-1.498723744068064,-0.5126161129963578,0.08968497398408717
2022-01-14,-0.674165931912311,1.4022391587010168,1.1482848439024254
2022-05-13,-0.19697187060173052,0.7295035779747534,-0.3783439462296775
2022-01-07,-0.10938400977458097,-0.3817716472011766,0.3311465469371588
2022-07-19,-0.3096643885519739,-1.7432090771158233,0.9120442821779667
2022-04-04,-0.24793704367022537,0.9344597244926022,0.7303508958614544
2022-06-10,0.7986345960313572,0.8053016780499483,-0.6487770326872989
2022-06-15,-0.5985794993843834,1.3275384654915725,0.5614058828952976
2022-05-17,0.6506284245143389,-0.754963877162822,-0.38198091423465974
2022-07-10,-0.603651895516178,0.7024370240274536,1.1171716667455662
2022-07-23,-0.5214612803286772,-0.24660274059491158,1.245446737510788
2022-05-14,0.30507060303944994,-0.4698703484052485,0.16967151293681676
2022-01-28,0.8732958118243563,-0.4709127709898703,-0.5154074860205338
2022-05-01,1.1385898301635395,0.5268758543002602,-1.13243649690122
2022-02-18,0.17424580247004323,-0.31816862148985386,0.4277693081124116
2022-03-04,-0.20696051118818787,-0.5757927471030011,0.9119182179194395
2022-06-27,0.8668019261325534,-2.914141519904689,-0.04135534209637782
2022-03-27,-0.6772689906295907,-0.7283380591640792,1.0442719430265097
2022-04-25,-0.796515913476511,0.522923677394235,-0.4530385815920501
2022-07-23,0.7685676611834339,-0.6068735837352781,-0.4428793318241553
2022-07-19,-1.493660316394421,1.453675099383455,1.1325251938553444
2022-03-16,0.3294850292904823,1.227187543034014,-0.1505161854026052
2022-07-11,-1.824229383392592,0.8875358569695861,0.33023406983076764
2022-07-20,-1.0782063057929692,1.2564715401759754,0.9482704705196862
2022-07-08,-1.4269696676930639,0.6320520365035681,0.27299818098331075
2022-04-07,-0.18725749577601575,-0.09626509936499786,0.6765124881280704
2022-02-12,0.29418199651433363,-0.3492839380620268,0.24984948361337653
2022-07-01,0.44529165521779074,-1.4301008082937157,0.27214195650270967
2022-03-18,-0.04291633894514655,0.9776885220439758,0.29011945534228517
2022-06-20,-0.8241033904900119,1.0998213099258707,0.5009074604946584
2022-06-09,0.4638478530538275,-0.13446833357854693,-0.0916571652580138
2022-03-17,-0.06746628275351486,1.185804147416925,0.42884568791946254
2022-06-09,0.5112435306947175,-1.5222982230667035,0.115992994592652
2022-01-01,1.1361259001223534,-0.7410167288005487,-0.7497014306350813
2022-06-09,1.0665827865404849,0.26779387538572025,-0.9070158068236485
2022-07-01,-1.7488890745482615,-0.7133815792909286,0.026272305621351084
2022-07-17,0.04021102413474226,-0.3955664711273431,0.47912748828784985
2022-02-03,0.6230645351486893,-0.09178558386167643,-0.21441089833999288
2022-02-28,0.5839384556441947,-0.3874128021501809,-0.8047405583114111
2022-05-07,0.9076145973327082,-0.35133295344830623,-0.7994480231420179
2022-06-26,-0.2848223050285313,1.0522857553872493,0.6155955846984679
2022-07-23,-0.9278862669875904,-1.5033902772243735,2.114967618811527
2022-04-10,-0.03957385877995447,0.40683017761834367,0.5151977479611239
2022-02-27,-3.190094575926873,0.46825778170678894,-1.4741736906888963
2022-05-10,0.25438616478017595,-0.08087481703419946,0.2421900352555768
2022-05-12,0.7770942442768132,0.8652350046786881,-0.5883766555877025
2022-02-10,-0.03159831998241703,0.512044873701914,0.42149865564658795
2022-07-24,1.0352304925863496,-0.8847838561318442,-0.6183625537407036
2022-07-09,-0.4352703184728858,-0.9072100676338118,1.0169644711546815
2022-06-10,0.13730805109480654,-1.3191693186348163,0.36826837665955403
2022-07-25,0.8263265845293575,-2.3028214521089696,-0.5504607188531419
2022-02-14,0.2804433315248806,0.22839138180127935,-0.08699233516757751
2022-02-21,0.05111104874497281,-0.6424104525341314,0.21158200862804175
2022-02-06,0.03751848360894988,-0.8996145471114126,0.31509375465524836
2022-06-01,0.5211727838378051,0.4073946718695734,-0.23656701463829538
2022-06-16,0.022140694735191428,1.0471560292889763,0.26744945994498776
2022-04-18,0.3542563746278209,-0.0212197094165225,0.13128157214907563
