,C1,C2,C3
DepDelayMinutes,0.6083917535706932,0.6250270682807558,0.9990191852662278
DepDelay,0.6151443824518371,0.6329119423004488,0.9990418607492652
CRSDepTime,0.4716549915682067,0.5084045173439208,0.9757019465979409
DepTime,0.4987245643530331,0.5361675692847647,0.9755358422966163
AirTime,0.0009170093598104801,0.9469434403111944,0.9925737148238759
Distance,0.0012032824980130817,0.9453997409427423,0.9925840740125992
