,C1,C2,C3
DepDelayMinutes,-0.7799947138094547,-0.12897796211005436,-0.6115489489693134
DepDelay,-0.7843114065547161,-0.13329501059158835,-0.6050867032490603
CRSDepTime,-0.6867714259986409,0.19170165824977645,0.6835915661080234
DepTime,-0.7062043361188269,0.1935019507181559,0.6628486048954554
AirTime,-0.030282162403145522,-0.9726389005953772,0.2136124399764245
Distance,-0.034688362573247554,-0.9716977196869041,0.21721955038591004
