,C1,C2,C3,C4,C5,C6,C7
2022-02-07,-1.2590611555667024,0.8072761544948376,-2.136150136033741,0.9904113434455117,1.2050165174069483,0.1513356499359198,-1.0399751357813294
2022-04-05,-1.2585346081896096,-1.060443762094781,-1.7403495330845753,-0.025137301751882345,-0.5561540051723958,0.41919512326550956,0.1984040518898257
2022-03-02,-1.2438515176685276,-0.7932439518727363,-1.6941105729706676,0.9178622672748017,-0.6017214219995166,0.37422303204981555,-0.5212100553852401
2022-02-28,-1.240909218506697,-0.9445657398748656,-1.6410730617292646,1.2453156051538075,-0.7120280335941354,0.4392183075882445,1.20372064191086
2022-03-01,-1.2374123925203584,-1.095457284383776,-1.5543370264994338,0.9737967065265188,-0.8648980683359977,0.36124263339378154,-0.16092606252595007
2022-05-02,-1.2358027970828587,-1.0258471227829744,-1.7432731738406824,-0.24488513122572964,-0.6703289083281991,0.35957171485158773,-0.03605989133511096
2022-03-01,-1.2342107615281241,-1.0334277998463726,-1.4491101920637777,0.9983658447251719,-0.9492062915121113,0.4821042571484038,0.3132566933656115
2022-02-10,-1.2337319632536115,-0.942383229933643,-1.4182136573203339,1.2047928310499376,-1.1036717804651204,0.40871184765372265,0.047446226598444205
2022-05-28,-1.2267581400931038,-0.7136234792006462,-1.6677957357460957,-0.2901988637512511,-1.414820453219709,0.5716901833265349,1.1081099150534983
2022-02-09,-1.2263081558406113,-0.9349679596974878,-1.5232283885240372,1.1473236540272185,-0.39029515434459716,0.5120171413824536,0.06558841727993064
